product,console,source,loose_price,old_cib,new_cib,ratio,status,notes
720 - NES Game,NES,ebay(11),12.99,11.99,62.99,4.85,APPLIED,diff=51.0
A Dinosaur's Tale - Sega Genesis Game,Sega Genesis,ebay(5),22.99,30.99,49.99,2.17,APPLIED,diff=19.0
AFL Premiership 2006 - PS2 Game,Playstation 2,synthetic_ratio_repair,113.98,204.99,205.99,1.81,APPLIED,diff=1.0
Alien 3 - SNES Game,SNES,ebay(15),22.99,52.99,136.99,5.96,APPLIED,diff=84.0
All-Star Baseball 2003 - GBA Game,Gameboy Advance,synthetic_outlier_guard(ebay_was_36.79_n=3),10.99,12.99,19.99,1.82,APPLIED,diff=7.0
Animaniacs Ten Pin Alley - PS1 Game,Playstation,synthetic_ratio_repair(ebay_was_11.03),11.99,19.99,21.99,1.83,APPLIED,diff=2.0
Animorphs Shattered Reality - PS1 Game,Playstation,synthetic_ratio_repair,14.99,33.99,26.99,1.80,APPLIED,diff=-7.0
Are You Smarter Than A 5th Grader? Make the Grade - PS2 Game,Playstation 2,ebay(4),6.48,10.99,9.99,1.54,APPLIED,diff=-1.0
Arena Football Road to Glory - PS2 Game,Playstation 2,synthetic_ratio_repair,13.34,23.99,24.99,1.87,APPLIED,diff=1.0
Assault Retribution - PS1 Game,Playstation,synthetic_ratio_repair,19.99,23.99,35.99,1.80,APPLIED,diff=12.0
Baby Boomer - NES Game,NES,ebay(3),136.99,186.99,178.99,1.31,APPLIED,diff=-8.0
Backstreet Billiards - PS1 Game,Playstation,synthetic_ratio_repair,17.99,15.99,32.99,1.83,APPLIED,diff=17.0
Backyard Football 2006 - GBA Game,Gameboy Advance,ebay(4),11.99,9.99,20.99,1.75,APPLIED,diff=11.0
Bad Boys Miami Takedown - PS2 Game,Playstation 2,ebay(5),8.30,13.99,14.99,1.81,APPLIED,diff=1.0
Bad Street Brawler - NES Game,NES,synthetic_ratio_repair,18.99,25.99,34.99,1.84,APPLIED,diff=9.0
