product,variant,type,market_price,old_price,new_price,diff,profit,status
007 GoldenEye - Nintendo 64 Game,game only,loose,31.19,44.99,42.99,-2.0,10.25,PREVIEW
007 GoldenEye - Nintendo 64 Game,complete (cib),cib,79.0,44.99,106.99,62.0,24.59,SAFETY (138% change)
007 GoldenEye - Wii Game,game only,loose,31.19,14.38,42.99,28.61,10.25,SAFETY (199% change)
007 GoldenEye - Wii Game,complete (cib),cib,79.0,14.38,106.99,92.61,24.59,SAFETY (644% change)
007 World Is Not Enough - Gameboy Color Game,game only,loose,18.26,13.37,24.99,11.62,5.71,SAFETY (87% change)
007 World Is Not Enough - Gameboy Color Game,complete (cib),cib,51.0,13.37,68.99,55.62,15.69,SAFETY (416% change)
007 World Is Not Enough - Nintendo 64 Game,game only,loose,18.26,22.65,24.99,2.34,5.71,PREVIEW
007 World Is Not Enough - Nintendo 64 Game,complete (cib),cib,51.0,22.65,68.99,46.34,15.69,SAFETY (205% change)
007 World is Not Enough - PS1 Game,game only,loose,18.26,11.7,24.99,13.29,5.71,SAFETY (114% change)
007 World is Not Enough - PS1 Game,complete (cib),cib,51.0,11.7,68.99,57.29,15.69,SAFETY (490% change)
1080 Snowboarding - Nintendo 64 Game,complete (cib),cib,52.94,17.76,71.99,54.23,16.66,SAFETY (305% change)
40 Winks - PS1 Game,game only,loose,38.34,19.0,51.99,32.99,11.84,SAFETY (174% change)
40 Winks - PS1 Game,complete (cib),cib,90.0,19.0,121.99,102.99,28.15,SAFETY (542% change)
A Bug's Life - Gameboy Color Game,game only,loose,13.97,6.6,18.99,12.39,4.17,SAFETY (188% change)
A Bug's Life - Gameboy Color Game,complete (cib),cib,41.12,6.6,55.99,49.39,12.95,SAFETY (748% change)
A Bug's Life - Nintendo 64 Game,game only,loose,13.97,16.95,18.99,2.04,4.17,PREVIEW
A Bug's Life - Nintendo 64 Game,complete (cib),cib,41.12,16.95,55.99,39.04,12.95,SAFETY (230% change)
