product,console,variant,type,source,market_price,old_price,new_price,diff,profit,status,notes
007 GoldenEye - Wii Game,Wii,game only,loose,pc,10.09,14.38,13.99,-0.39,3.19,NO_CHANGE,
007 GoldenEye - Wii Game,Wii,complete (cib),cib,pc,12.40,16.99,16.99,0.00,3.80,NO_CHANGE,
007 Quantum of Solace - Wii Game,Wii,game only,loose,pc,5.34,8.30,7.99,-0.31,2.12,NO_CHANGE,
007 Quantum of Solace - Wii Game,Wii,complete (cib),cib,pc,8.18,11.99,11.99,0.00,3.16,NO_CHANGE,
102 Dalmatians Puppies to the Rescue - PS1 Game,Playstation,game only,loose,pc,13.50,18.98,18.99,0.01,4.64,NO_CHANGE,
102 Dalmatians Puppies to the Rescue - PS1 Game,Playstation,complete (cib),cib,pc,18.05,24.99,24.99,0.00,5.92,NO_CHANGE,
1943: The Battle of Midway - NES Game,NES,,,,,,,,,NO_MATCH,PC and eBay both failed
2Xtreme - PS1 Game,Playstation,game only,loose,pc,4.45,6.99,6.99,0.00,2.04,NO_CHANGE,
2Xtreme - PS1 Game,Playstation,complete (cib),cib,pc,6.37,8.99,8.99,0.00,2.06,NO_CHANGE,
4 in 1 Fun Pak - Gameboy Game,Gameboy,game only,loose,pc,7.29,9.54,9.99,0.45,2.11,NO_CHANGE,
4 in 1 Fun Pak - Gameboy Game,Gameboy,complete (cib),cib,pc,24.99,33.99,33.99,0.00,7.71,NO_CHANGE,
688 Attack Sub - Sega Genesis Game,Sega Genesis,complete (cib),cib,ebay(6),16.15,20.99,21.99,1.00,4.90,PREVIEW,
720 - Gameboy Color Game,Gameboy Color,game only,loose,pc,6.25,8.54,8.99,0.45,2.18,NO_CHANGE,
720 - Gameboy Color Game,Gameboy Color,complete (cib),cib,pc,13.08,17.99,17.99,0.00,4.09,NO_CHANGE,
720 - NES Game,NES,,,,,,,,,NO_MATCH,PC and eBay both failed
8 Eyes - NES Game,NES,complete (cib),cib,ebay(8),44.62,36.99,60.99,24.00,14.30,PREVIEW,
A Dinosaur's Tale - Sega Genesis Game,Sega Genesis,,,,,,,,,NO_MATCH,PC and eBay both failed
AAAHH Real Monsters - SNES Game,SNES,,,,,,,,,NO_MATCH,PC and eBay both failed
Abadox - NES Game,NES,,,,,,,,,NO_MATCH,PC and eBay both failed
Academy of Champions Soccer - Wii Game,Wii,game only,loose,pc,6.43,8.99,8.99,0.00,2.00,NO_CHANGE,
Academy of Champions Soccer - Wii Game,Wii,complete (cib),cib,pc,6.67,15.99,9.99,-6.00,2.73,PREVIEW,
Active Life: Extreme Challenge - Wii Game,Wii,game only,loose,pc,5.83,7.99,7.99,0.00,1.63,NO_CHANGE,
Active Life: Extreme Challenge - Wii Game,Wii,complete (cib),cib,pc,6.95,9.99,9.99,0.00,2.45,NO_CHANGE,
ActRaiser - SNES Game,SNES,,,,,,,,,NO_MATCH,PC and eBay both failed
ActRaiser 2 - SNES Game,SNES,complete (cib),cib,ebay(7),148.74,97.99,200.99,103.00,46.12,PREVIEW,
Adidas Power Soccer 98 - PS1 Game,Playstation,game only,loose,pc,6.19,9.41,8.99,-0.42,2.24,NO_CHANGE,
Adidas Power Soccer 98 - PS1 Game,Playstation,complete (cib),cib,pc,32.76,44.99,44.99,0.00,10.63,NO_CHANGE,
Adventure Island 3 - NES Game,NES,,,,,,,,,NO_MATCH,PC and eBay both failed
Adventures of Batman and Robin - Sega Genesis Game,Sega Genesis,game only,loose,pc,29.37,39.99,39.99,0.00,9.16,NO_CHANGE,
Adventures of Batman and Robin - Sega Genesis Game,Sega Genesis,complete (cib),cib,pc,125.00,168.99,168.99,0.00,38.79,NO_CHANGE,
Adventures of Dino Riki - NES Game,NES,,,,,,,,,NO_MATCH,PC and eBay both failed
Adventures of Dr Franken - SNES Game,SNES,,,,,,,,,NO_MATCH,PC and eBay both failed
Adventures to Go - PSP Game,PSP,game only,loose,pc,9.47,12.99,12.99,0.00,2.84,NO_CHANGE,
Adventures to Go - PSP Game,PSP,complete (cib),cib,pc,11.00,14.99,14.99,0.00,3.26,NO_CHANGE,
Aero the Acro-Bat - SNES Game,SNES,,,,,,,,,NO_MATCH,PC and eBay both failed
Aero the Acro-Bat 2 - SNES Game,SNES,,,,,,,,,NO_MATCH,PC and eBay both failed
AFL Premiership 2006 - PS2 Game,Playstation 2,,,,,,,,,NO_MATCH,PC and eBay both failed
Air Conflicts - PSP Game,PSP,,,,,,,,,NO_MATCH,PC and eBay both failed
Air Diver - Sega Genesis Game,Sega Genesis,,,,,,,,,NO_MATCH,PC and eBay both failed
Aladdin - SNES Game,SNES,,,,,,,,,NO_MATCH,PC and eBay both failed
Alien 3 - SNES Game,SNES,,,,,,,,,NO_MATCH,PC and eBay both failed
