product,console,variant,type,market_price,old_price,new_price,diff,profit,status
.hack GU Rebirth - PS2 Game,Playstation 2,game only,loose,10.29,25.25,13.99,-11.26,2.99,APPLIED
.hack GU Rebirth - PS2 Game,Playstation 2,complete (cib),cib,21.66,25.25,29.99,4.74,7.16,APPLIED
.hack Infection - PS2 Game,Playstation 2,game only,loose,13.20,24.68,17.99,-6.69,3.97,APPLIED
.hack Infection - PS2 Game,Playstation 2,complete (cib),cib,28.26,24.68,38.99,14.31,9.30,APPLIED
.hack Mutation - PS2 Game,Playstation 2,game only,loose,27.30,49.36,36.99,-12.37,8.32,APPLIED
.hack Mutation - PS2 Game,Playstation 2,complete (cib),cib,64.97,49.36,87.99,38.63,20.17,APPLIED
.hack Outbreak - PS2 Game,Playstation 2,game only,loose,33.64,71.23,45.99,-25.24,10.72,APPLIED
.hack Outbreak - PS2 Game,Playstation 2,complete (cib),cib,83.15,71.23,112.99,41.76,26.26,APPLIED
007 Everything or Nothing - Gamecube Game,Gamecube,complete (cib),cib,18.92,13.16,25.99,12.83,6.02,APPLIED
007 Everything or Nothing - Xbox Game,Xbox,complete (cib),cib,9.99,24.99,13.99,-11.00,3.29,APPLIED
007 From Russia With Love - PSP Game,PSP,,,,,,,,NO_MATCH
007 From Russia With Love - Xbox Game,Xbox,game only,loose,8.99,20.99,12.99,-8.00,3.32,APPLIED
007 GoldenEye - Nintendo 64 Game,Nintendo 64,game only,loose,30.42,42.99,41.99,-1.00,10.05,APPLIED
007 GoldenEye - Nintendo 64 Game,Nintendo 64,complete (cib),cib,77.26,44.99,104.99,60.00,24.39,APPLIED
007 James Bond - Gameboy Game,Gameboy,complete (cib),cib,42.47,26.84,57.99,31.15,13.54,APPLIED
007 Legends - Wii U Game,Wii U,complete (cib),cib,23.23,29.99,31.99,2.00,7.53,APPLIED
007 Nightfire - Xbox Game,Xbox,game only,loose,8.31,18.99,11.99,-7.00,3.03,APPLIED
007 Racing - PS1 Game,Playstation,complete (cib),cib,12.67,7.58,17.99,10.41,4.50,APPLIED
007 World Is Not Enough - Gameboy Color Game,Gameboy Color,complete (cib),cib,19.99,13.37,26.99,13.62,5.92,APPLIED
007 World Is Not Enough - Nintendo 64 Game,Nintendo 64,game only,loose,19.97,24.99,26.99,2.00,5.94,APPLIED
007 World Is Not Enough - Nintendo 64 Game,Nintendo 64,complete (cib),cib,53.48,22.65,72.99,50.34,17.09,APPLIED
10 Pin Bowling - Gameboy Color Game,Gameboy Color,complete (cib),cib,43.12,23.01,58.99,35.98,13.86,APPLIED
10-Yard Fight - NES Game,NES,game only,loose,7.85,5.08,10.99,5.91,2.52,APPLIED
10-Yard Fight - NES Game,NES,complete (cib),cib,54.97,5.08,74.99,69.91,17.55,APPLIED
101 Dalmatians II Patch's London Adventure - PS1 Game,Playstation,,,,,,,,NO_MATCH
102 Dalmatians Puppies to the Rescue - Sega Dreamcast Game,Sega Dreamcast,,,,,,,,NO_MATCH
1080 Snowboarding - Nintendo 64 Game,Nintendo 64,complete (cib),cib,52.94,17.76,71.99,54.23,16.66,APPLIED
18 Wheeler American Pro Trucker - Gamecube Game,Gamecube,complete (cib),cib,13.98,9.73,18.99,9.26,4.16,APPLIED
187 Ride or Die - Xbox Game,Xbox,game only,loose,8.07,14.99,10.99,-4.00,2.30,APPLIED
187 Ride or Die - Xbox Game,Xbox,complete (cib),cib,10.34,21.99,13.99,-8.00,2.94,APPLIED
1942 - NES Game,NES,complete (cib),cib,62.99,23.13,85.99,62.86,20.21,APPLIED
1943: The Battle of Midway - NES Game,NES,,,,,,,,NO_MATCH
2 for 1 Power Pack Winter Blast & Summer Sports 2 - Wii Game,Wii,,,,,,,,NO_MATCH
2006 FIFA World Cup - PSP Game,PSP,game only,loose,8.73,4.80,11.99,7.19,2.61,APPLIED
2006 FIFA World Cup - PSP Game,PSP,complete (cib),cib,9.92,4.80,13.99,9.19,3.36,APPLIED
25 to Life - Xbox Game,Xbox,game only,loose,10.55,20.99,14.99,-6.00,3.71,APPLIED
25 to Life - Xbox Game,Xbox,complete (cib),cib,15.38,25.99,20.99,-5.00,4.70,APPLIED
3 Ninjas Kick Back - Sega Genesis Game,Sega Genesis,,,,,,,,NO_MATCH
36 Great Holes Starring Fred Couples - Sega 32X Game,Sega 32X,,,,,,,,NO_MATCH
3D Baseball - PS1 Game,Playstation,,,,,,,,NO_MATCH
3D WorldRunner - NES Game,NES,complete (cib),cib,49.99,14.31,67.99,53.68,15.73,APPLIED
4 in 1 Fun Pak - Gameboy Game,Gameboy,complete (cib),cib,24.99,9.54,33.99,24.45,7.71,APPLIED
4 in 1 Funpak Volume II - Gameboy Game,Gameboy,complete (cib),cib,17.99,7.34,24.99,17.65,5.98,APPLIED
4 Wheel Thunder - Sega Dreamcast Game,Sega Dreamcast,complete (cib),cib,19.99,14.40,26.99,12.59,5.92,APPLIED
4x4 EVO - Sega Dreamcast Game,Sega Dreamcast,,,,,,,,NO_MATCH
4x4 EVO 2 - Gamecube Game,Gamecube,,,,,,,,NO_MATCH
4x4 EVO 2 - Xbox Game,Xbox,game only,loose,5.99,12.99,8.99,-4.00,2.44,APPLIED
4x4 EVO 2 - Xbox Game,Xbox,complete (cib),cib,7.99,17.99,10.99,-7.00,2.38,APPLIED
50 Cent Bulletproof G Unit Edition - PSP Game,PSP,complete (cib),cib,60.00,37.57,81.99,44.42,19.31,APPLIED
6-Pak - Sega Genesis Game,Sega Genesis,complete (cib),cib,45.71,15.37,61.99,46.62,14.18,APPLIED
688 Attack Sub - Sega Genesis Game,Sega Genesis,,,,,,,,NO_MATCH
