id	custom_label_0	custom_label_2
shopify_ZZ_7956598226978_43794826330146	under_20	game
shopify_ZZ_7956598226978_43794688868386	under_20	game
shopify_ZZ_7956598259746_43794826362914	under_20	game
shopify_ZZ_7956598259746_43794688835618	under_20	game
shopify_ZZ_7956598325282_43794826395682	20_to_50	game
shopify_ZZ_7956598325282_43794688802850	20_to_50	game
shopify_ZZ_7956598358050_43794826428450	20_to_50	game
shopify_ZZ_7956598358050_43794688770082	20_to_50	game
shopify_ZZ_7956598423586_43794746998818	under_20	game
shopify_ZZ_7956598423586_43794688737314	under_20	game
shopify_ZZ_7956598456354_43794747064354	under_20	game
shopify_ZZ_7956598456354_43794688704546	under_20	game
shopify_ZZ_7956598521890_43794747097122	under_20	game
shopify_ZZ_7956598521890_43794688671778	under_20	game
shopify_ZZ_7956598554658_43794747129890	under_20	game
shopify_ZZ_7956598554658_43794688639010	under_20	game
shopify_ZZ_7956598587426_43794747162658	20_to_50	game
shopify_ZZ_7956598587426_43794688606242	20_to_50	game
shopify_ZZ_7956598620194_43794747195426	20_to_50	game
shopify_ZZ_7956598620194_43794688573474	20_to_50	game
shopify_ZZ_7956598685730_43794747228194	under_20	game
shopify_ZZ_7956598685730_43794688540706	under_20	game
shopify_ZZ_7956598718498_43794747260962	20_to_50	game
shopify_ZZ_7956598718498_43794688507938	20_to_50	game
shopify_ZZ_7956598784034_43794747293730	under_20	game
shopify_ZZ_7956598784034_43794688475170	under_20	game
shopify_ZZ_7956598816802_43794747326498	under_20	game
shopify_ZZ_7956598816802_43794688442402	under_20	game
shopify_ZZ_7956598849570_43794747359266	20_to_50	game
shopify_ZZ_7956598849570_43794688409634	20_to_50	game
shopify_ZZ_7956598882338_43794747392034	under_20	game
shopify_ZZ_7956598882338_43794688376866	under_20	game
shopify_ZZ_7956598947874_43794747424802	20_to_50	game
shopify_ZZ_7956598947874_43794688344098	20_to_50	game
shopify_ZZ_7956599013410_43794747457570	under_20	game
shopify_ZZ_7956599013410_43794688311330	under_20	game
shopify_ZZ_7956599046178_43794747490338	under_20	game
shopify_ZZ_7956599046178_43794688278562	under_20	game
shopify_ZZ_7956599078946_43794747523106	under_20	game
shopify_ZZ_7956599078946_43794688245794	under_20	game
shopify_ZZ_7956599111714_43794747916322	under_20	game
shopify_ZZ_7956599111714_43794688213026	under_20	game
shopify_ZZ_7956599144482_43794751029282	under_20	game
shopify_ZZ_7956599144482_43794688180258	under_20	game
shopify_ZZ_7956599210018_43794751881250	under_20	game
shopify_ZZ_7956599210018_43794688147490	under_20	game
