set_id,set_name,card_name,card_number,rarity,market_price,sell_price,profit,image_url
base4,Base Set 2,Alakazam,1,Rare Holo,54.8,65.99,8.98,https://images.pokemontcg.io/base4/1_hires.png
base4,Base Set 2,Blastoise,2,Rare Holo,105.87,127.99,18.11,https://images.pokemontcg.io/base4/2_hires.png
base4,Base Set 2,Chansey,3,Rare Holo,18.39,22.99,3.63,https://images.pokemontcg.io/base4/3_hires.png
base4,Base Set 2,Charizard,4,Rare Holo,373.13,447.99,61.57,https://images.pokemontcg.io/base4/4_hires.png
base4,Base Set 2,Clefable,5,Rare Holo,17.09,20.99,2.99,https://images.pokemontcg.io/base4/5_hires.png
base4,Base Set 2,Clefairy,6,Rare Holo,14.99,17.99,2.18,https://images.pokemontcg.io/base4/6_hires.png
base4,Base Set 2,Gyarados,7,Rare Holo,33.07,39.99,5.46,https://images.pokemontcg.io/base4/7_hires.png
base4,Base Set 2,Hitmonchan,8,Rare Holo,20.6,24.99,3.37,https://images.pokemontcg.io/base4/8_hires.png
base4,Base Set 2,Magneton,9,Rare Holo,16.08,19.99,3.03,https://images.pokemontcg.io/base4/9_hires.png
base4,Base Set 2,Mewtwo,10,Rare Holo,50.85,61.99,9.04,https://images.pokemontcg.io/base4/10_hires.png
base4,Base Set 2,Nidoking,11,Rare Holo,24.28,29.99,4.54,https://images.pokemontcg.io/base4/11_hires.png
base4,Base Set 2,Nidoqueen,12,Rare Holo,26.12,31.99,4.64,https://images.pokemontcg.io/base4/12_hires.png
base4,Base Set 2,Ninetales,13,Rare Holo,23.57,28.99,4.28,https://images.pokemontcg.io/base4/13_hires.png
base4,Base Set 2,Pidgeot,14,Rare Holo,28.31,33.99,4.39,https://images.pokemontcg.io/base4/14_hires.png
base4,Base Set 2,Poliwrath,15,Rare Holo,16.73,20.99,3.35,https://images.pokemontcg.io/base4/15_hires.png
base4,Base Set 2,Raichu,16,Rare Holo,34.66,41.99,5.81,https://images.pokemontcg.io/base4/16_hires.png
base4,Base Set 2,Scyther,17,Rare Holo,28.07,33.99,4.63,https://images.pokemontcg.io/base4/17_hires.png
base4,Base Set 2,Venusaur,18,Rare Holo,78.66,94.99,13.28,https://images.pokemontcg.io/base4/18_hires.png
base4,Base Set 2,Wigglytuff,19,Rare Holo,14.82,17.99,2.35,https://images.pokemontcg.io/base4/19_hires.png
base4,Base Set 2,Zapdos,20,Rare Holo,29.1,34.99,4.58,https://images.pokemontcg.io/base4/20_hires.png
base4,Base Set 2,Beedrill,21,Rare,2.73,3.99,0.84,https://images.pokemontcg.io/base4/21_hires.png
base4,Base Set 2,Dragonair,22,Rare,8.69,10.99,1.68,https://images.pokemontcg.io/base4/22_hires.png
base4,Base Set 2,Dugtrio,23,Rare,3.82,4.99,0.73,https://images.pokemontcg.io/base4/23_hires.png
base4,Base Set 2,Electabuzz,24,Rare,3.27,3.99,0.3,https://images.pokemontcg.io/base4/24_hires.png
base4,Base Set 2,Electrode,25,Rare,3.97,4.99,0.58,https://images.pokemontcg.io/base4/25_hires.png
base4,Base Set 2,Kangaskhan,26,Rare,4.34,5.99,1.18,https://images.pokemontcg.io/base4/26_hires.png
base4,Base Set 2,Mr. Mime,27,Rare,5.69,6.99,0.8,https://images.pokemontcg.io/base4/27_hires.png
base4,Base Set 2,Pidgeotto,28,Rare,4.75,5.99,0.77,https://images.pokemontcg.io/base4/28_hires.png
base4,Base Set 2,Pinsir,29,Rare,3.97,4.99,0.58,https://images.pokemontcg.io/base4/29_hires.png
base4,Base Set 2,Snorlax,30,Rare,25.29,30.99,4.5,https://images.pokemontcg.io/base4/30_hires.png
base4,Base Set 2,Venomoth,31,Rare,3.86,4.99,0.69,https://images.pokemontcg.io/base4/31_hires.png
base4,Base Set 2,Victreebel,32,Rare,3.39,4.99,1.16,https://images.pokemontcg.io/base4/32_hires.png
base4,Base Set 2,Arcanine,33,Uncommon,1.88,2.99,0.72,https://images.pokemontcg.io/base4/33_hires.png
base4,Base Set 2,Butterfree,34,Uncommon,1.82,2.99,0.78,https://images.pokemontcg.io/base4/34_hires.png
base4,Base Set 2,Charmeleon,35,Uncommon,2.01,2.99,0.59,https://images.pokemontcg.io/base4/35_hires.png
base4,Base Set 2,Dewgong,36,Uncommon,1.36,1.99,0.27,https://images.pokemontcg.io/base4/36_hires.png
base4,Base Set 2,Dodrio,37,Uncommon,2.14,2.99,0.46,https://images.pokemontcg.io/base4/37_hires.png
base4,Base Set 2,Exeggutor,39,Uncommon,1.3,1.99,0.33,https://images.pokemontcg.io/base4/39_hires.png
base4,Base Set 2,Fearow,41,Uncommon,1.26,1.99,0.37,https://images.pokemontcg.io/base4/41_hires.png
base4,Base Set 2,Growlithe,42,Uncommon,1.57,1.99,0.06,https://images.pokemontcg.io/base4/42_hires.png
base4,Base Set 2,Haunter,43,Uncommon,1.14,1.99,0.49,https://images.pokemontcg.io/base4/43_hires.png
base4,Base Set 2,Ivysaur,44,Uncommon,4.54,5.99,0.98,https://images.pokemontcg.io/base4/44_hires.png
base4,Base Set 2,Jynx,45,Uncommon,1.24,1.99,0.39,https://images.pokemontcg.io/base4/45_hires.png
base4,Base Set 2,Kadabra,46,Uncommon,1.59,1.99,0.04,https://images.pokemontcg.io/base4/46_hires.png
base4,Base Set 2,Lickitung,48,Uncommon,2.04,2.99,0.56,https://images.pokemontcg.io/base4/48_hires.png
base4,Base Set 2,Magikarp,50,Uncommon,1.45,1.99,0.18,https://images.pokemontcg.io/base4/50_hires.png
base4,Base Set 2,Magmar,51,Uncommon,1.32,1.99,0.31,https://images.pokemontcg.io/base4/51_hires.png
base4,Base Set 2,Marowak,52,Uncommon,2.18,2.99,0.42,https://images.pokemontcg.io/base4/52_hires.png
base4,Base Set 2,Nidorino,54,Uncommon,1.52,1.99,0.11,https://images.pokemontcg.io/base4/54_hires.png
base4,Base Set 2,Parasect,55,Uncommon,1.22,1.99,0.41,https://images.pokemontcg.io/base4/55_hires.png
base4,Base Set 2,Persian,56,Uncommon,2.26,2.99,0.34,https://images.pokemontcg.io/base4/56_hires.png
base4,Base Set 2,Poliwhirl,57,Uncommon,1.16,1.99,0.47,https://images.pokemontcg.io/base4/57_hires.png
base4,Base Set 2,Raticate,58,Uncommon,1.01,1.99,0.62,https://images.pokemontcg.io/base4/58_hires.png
base4,Base Set 2,Rhydon,59,Uncommon,1.94,2.99,0.66,https://images.pokemontcg.io/base4/59_hires.png
base4,Base Set 2,Seaking,60,Uncommon,1.1,1.99,0.53,https://images.pokemontcg.io/base4/60_hires.png
base4,Base Set 2,Tauros,62,Uncommon,3.44,4.99,1.11,https://images.pokemontcg.io/base4/62_hires.png
base4,Base Set 2,Wartortle,63,Uncommon,1.83,2.99,0.77,https://images.pokemontcg.io/base4/63_hires.png
base4,Base Set 2,Weepinbell,64,Uncommon,1.02,1.99,0.61,https://images.pokemontcg.io/base4/64_hires.png
base4,Base Set 2,Bulbasaur,67,Common,3.42,4.99,1.13,https://images.pokemontcg.io/base4/67_hires.png
base4,Base Set 2,Charmander,69,Common,1.47,1.99,0.16,https://images.pokemontcg.io/base4/69_hires.png
base4,Base Set 2,Cubone,70,Common,1.34,1.99,0.29,https://images.pokemontcg.io/base4/70_hires.png
base4,Base Set 2,Onix,84,Common,1.03,1.99,0.6,https://images.pokemontcg.io/base4/84_hires.png
base4,Base Set 2,Pikachu,87,Common,2.28,2.99,0.32,https://images.pokemontcg.io/base4/87_hires.png
base4,Base Set 2,Squirtle,93,Common,1.38,1.99,0.25,https://images.pokemontcg.io/base4/93_hires.png
