set_id,set_name,card_name,card_number,rarity,market_price,sell_price,profit,image_url
rsv10pt5,White Flare,Whimsicott ex,5,Double Rare,0.52,0.99,0.14,https://images.pokemontcg.io/rsv10pt5/5_hires.png
rsv10pt5,White Flare,Reshiram ex,20,Double Rare,0.61,0.99,0.05,https://images.pokemontcg.io/rsv10pt5/20_hires.png
rsv10pt5,White Flare,Keldeo ex,30,Double Rare,0.54,0.99,0.12,https://images.pokemontcg.io/rsv10pt5/30_hires.png
rsv10pt5,White Flare,Jellicent ex,45,Double Rare,0.61,0.99,0.05,https://images.pokemontcg.io/rsv10pt5/45_hires.png
rsv10pt5,White Flare,Emboar,98,Illustration Rare,32.42,43.99,9.99,https://images.pokemontcg.io/rsv10pt5/98_hires.png
rsv10pt5,White Flare,Simisear,100,Illustration Rare,9.19,12.99,3.12,https://images.pokemontcg.io/rsv10pt5/100_hires.png
rsv10pt5,White Flare,Lampent,102,Illustration Rare,10.75,14.99,3.51,https://images.pokemontcg.io/rsv10pt5/102_hires.png
rsv10pt5,White Flare,Samurott,107,Illustration Rare,38.69,52.99,12.46,https://images.pokemontcg.io/rsv10pt5/107_hires.png
rsv10pt5,White Flare,Ducklett,109,Illustration Rare,14.46,19.99,4.65,https://images.pokemontcg.io/rsv10pt5/109_hires.png
rsv10pt5,White Flare,Vanilluxe,113,Illustration Rare,29.83,40.99,9.67,https://images.pokemontcg.io/rsv10pt5/113_hires.png
rsv10pt5,White Flare,Blitzle,114,Illustration Rare,6.89,9.99,2.51,https://images.pokemontcg.io/rsv10pt5/114_hires.png
rsv10pt5,White Flare,Zebstrika,115,Illustration Rare,17.39,23.99,5.6,https://images.pokemontcg.io/rsv10pt5/115_hires.png
rsv10pt5,White Flare,Sewaddle,87,Illustration Rare,12.42,16.99,3.78,https://images.pokemontcg.io/rsv10pt5/87_hires.png
rsv10pt5,White Flare,Leavanny,89,Illustration Rare,19.86,26.99,6.05,https://images.pokemontcg.io/rsv10pt5/89_hires.png
rsv10pt5,White Flare,Cottonee,90,Illustration Rare,6.46,8.99,1.97,https://images.pokemontcg.io/rsv10pt5/90_hires.png
rsv10pt5,White Flare,Deerling,91,Illustration Rare,14.01,18.99,4.13,https://images.pokemontcg.io/rsv10pt5/91_hires.png
rsv10pt5,White Flare,Pansear,99,Illustration Rare,8.58,11.99,2.76,https://images.pokemontcg.io/rsv10pt5/99_hires.png
rsv10pt5,White Flare,Oshawott,105,Illustration Rare,48.41,65.99,15.37,https://images.pokemontcg.io/rsv10pt5/105_hires.png
rsv10pt5,White Flare,Boldore,128,Illustration Rare,4.98,6.99,1.51,https://images.pokemontcg.io/rsv10pt5/128_hires.png
rsv10pt5,White Flare,Sawk,130,Illustration Rare,6.79,9.99,2.61,https://images.pokemontcg.io/rsv10pt5/130_hires.png
rsv10pt5,White Flare,Virizion,95,Illustration Rare,24.04,32.99,7.69,https://images.pokemontcg.io/rsv10pt5/95_hires.png
rsv10pt5,White Flare,Swanna,110,Illustration Rare,8.99,12.99,3.32,https://images.pokemontcg.io/rsv10pt5/110_hires.png
rsv10pt5,White Flare,Joltik,116,Illustration Rare,20.95,28.99,6.9,https://images.pokemontcg.io/rsv10pt5/116_hires.png
rsv10pt5,White Flare,Gigalith,129,Illustration Rare,16.5,22.99,5.52,https://images.pokemontcg.io/rsv10pt5/129_hires.png
rsv10pt5,White Flare,Hilda,84,Uncommon,1.65,2.99,0.95,https://images.pokemontcg.io/rsv10pt5/84_hires.png
