name,category,set,market_price,image_url
Pokemon Paldea Evolved Booster Box (36 Packs),booster-box,Paldea Evolved,459.5,
Pokemon Paldea Evolved Elite Trainer Box,elite-trainer-box,Paldea Evolved,160.0,
Pokemon Paldea Evolved Booster Pack,booster-pack,Paldea Evolved,11.48,
Pokemon Obsidian Flames Booster Box (36 Packs),booster-box,Obsidian Flames,349.46,
Pokemon Obsidian Flames Elite Trainer Box,elite-trainer-box,Obsidian Flames,213.11,
Pokemon Obsidian Flames Booster Pack,booster-pack,Obsidian Flames,12.31,
Pokemon Paradox Rift Booster Box (36 Packs),booster-box,Paradox Rift,241.2,
Pokemon Paradox Rift Booster Pack,booster-pack,Paradox Rift,8.5,
Pokemon Temporal Forces Booster Box (36 Packs),booster-box,Temporal Forces,269.82,
Pokemon Temporal Forces Booster Pack,booster-pack,Temporal Forces,7.97,
Pokemon Twilight Masquerade Booster Box (36 Packs),booster-box,Twilight Masquerade,301.91,
Pokemon Twilight Masquerade Elite Trainer Box,elite-trainer-box,Twilight Masquerade,75.0,
Pokemon Twilight Masquerade Booster Pack,booster-pack,Twilight Masquerade,7.78,
Pokemon Stellar Crown Booster Box (36 Packs),booster-box,Stellar Crown,291.4,
Pokemon Stellar Crown Elite Trainer Box,elite-trainer-box,Stellar Crown,98.95,
Pokemon Stellar Crown Booster Pack,booster-pack,Stellar Crown,7.97,
Pokemon Surging Sparks Booster Box (36 Packs),booster-box,Surging Sparks,249.02,
Pokemon Surging Sparks Elite Trainer Box,elite-trainer-box,Surging Sparks,95.5,
Pokemon Surging Sparks Booster Pack,booster-pack,Surging Sparks,8.5,
Pokemon Prismatic Evolutions Elite Trainer Box,elite-trainer-box,Prismatic Evolutions,175.0,
Pokemon Prismatic Evolutions Booster Pack,booster-pack,Prismatic Evolutions,14.47,
Pokemon Journey Together Booster Box (36 Packs),booster-box,Journey Together,230.89,
Pokemon Journey Together Elite Trainer Box,elite-trainer-box,Journey Together,99.11,
Pokemon Journey Together Booster Pack,booster-pack,Journey Together,6.4,
