name,category,set,market_price,image_url
Scarlet & Violet Booster Pack,booster-pack,Scarlet & Violet,4.50,
Paldea Evolved Booster Pack,booster-pack,Paldea Evolved,4.50,
Obsidian Flames Booster Pack,booster-pack,Obsidian Flames,4.50,
151 Booster Pack,booster-pack,151,8.00,
Prismatic Evolutions Booster Pack,booster-pack,Prismatic Evolutions,6.00,
Journey Together Booster Pack,booster-pack,Journey Together,4.50,
Scarlet & Violet Booster Box (36 Packs),booster-box,Scarlet & Violet,120.00,
Paldea Evolved Booster Box (36 Packs),booster-box,Paldea Evolved,120.00,
151 Booster Box (36 Packs),booster-box,151,210.00,
Prismatic Evolutions Booster Box (36 Packs),booster-box,Prismatic Evolutions,160.00,
Journey Together Booster Box (36 Packs),booster-box,Journey Together,120.00,
Scarlet & Violet Elite Trainer Box,etb,Scarlet & Violet,35.00,
Paldea Evolved Elite Trainer Box,etb,Paldea Evolved,35.00,
Obsidian Flames Elite Trainer Box,etb,Obsidian Flames,35.00,
Prismatic Evolutions Elite Trainer Box,etb,Prismatic Evolutions,55.00,
Journey Together Elite Trainer Box,etb,Journey Together,40.00,
Scarlet & Violet 3-Pack Blister,blister,Scarlet & Violet,14.00,
Paldea Evolved 3-Pack Blister,blister,Paldea Evolved,14.00,
Scarlet & Violet Collector's Tin,tin,Scarlet & Violet,22.00,
Paldea Evolved Collector's Tin,tin,Paldea Evolved,22.00,
