set_id,set_name,card_name,card_number,rarity,market_price,sell_price,profit,image_url
sv10,Destined Rivals,Yanmega ex,3,Double Rare,0.61,0.99,0.05,https://images.pokemontcg.io/sv10/3_hires.png
sv10,Destined Rivals,Arboliva ex,23,Double Rare,0.93,1.99,0.7,https://images.pokemontcg.io/sv10/23_hires.png
sv10,Destined Rivals,Rabsca ex,25,Double Rare,0.54,0.99,0.12,https://images.pokemontcg.io/sv10/25_hires.png
sv10,Destined Rivals,Team Rocket's Moltres ex,31,Double Rare,1.03,1.99,0.6,https://images.pokemontcg.io/sv10/31_hires.png
sv10,Destined Rivals,Ethan's Ho-Oh ex,39,Double Rare,0.66,0.99,0.0,https://images.pokemontcg.io/sv10/39_hires.png
sv10,Destined Rivals,Cetitan ex,65,Double Rare,0.58,0.99,0.08,https://images.pokemontcg.io/sv10/65_hires.png
sv10,Destined Rivals,Dondozo ex,66,Double Rare,0.54,0.99,0.12,https://images.pokemontcg.io/sv10/66_hires.png
sv10,Destined Rivals,Electivire ex,69,Double Rare,0.56,0.99,0.1,https://images.pokemontcg.io/sv10/69_hires.png
sv10,Destined Rivals,Team Rocket's Mewtwo ex,81,Double Rare,1.18,1.99,0.45,https://images.pokemontcg.io/sv10/81_hires.png
sv10,Destined Rivals,Regirock ex,101,Double Rare,0.55,0.99,0.11,https://images.pokemontcg.io/sv10/101_hires.png
sv10,Destined Rivals,Cynthia's Garchomp ex,104,Double Rare,1.38,1.99,0.25,https://images.pokemontcg.io/sv10/104_hires.png
sv10,Destined Rivals,Team Rocket's Nidoking ex,119,Double Rare,0.8,1.99,0.83,https://images.pokemontcg.io/sv10/119_hires.png
sv10,Destined Rivals,Team Rocket's Crobat ex,122,Double Rare,0.55,0.99,0.11,https://images.pokemontcg.io/sv10/122_hires.png
sv10,Destined Rivals,Marnie's Grimmsnarl ex,136,Double Rare,1.02,1.99,0.61,https://images.pokemontcg.io/sv10/136_hires.png
sv10,Destined Rivals,Arven's Mabosstiff ex,139,Double Rare,0.56,0.99,0.1,https://images.pokemontcg.io/sv10/139_hires.png
sv10,Destined Rivals,Steven's Metagross ex,145,Double Rare,0.87,1.99,0.76,https://images.pokemontcg.io/sv10/145_hires.png
sv10,Destined Rivals,Team Rocket's Persian ex,150,Double Rare,0.8,1.99,0.83,https://images.pokemontcg.io/sv10/150_hires.png
sv10,Destined Rivals,Yanma,183,Illustration Rare,3.81,5.99,1.71,https://images.pokemontcg.io/sv10/183_hires.png
sv10,Destined Rivals,Cynthia's Roserade,184,Illustration Rare,13.36,18.99,4.78,https://images.pokemontcg.io/sv10/184_hires.png
sv10,Destined Rivals,Shaymin,185,Illustration Rare,9.7,13.99,3.58,https://images.pokemontcg.io/sv10/185_hires.png
sv10,Destined Rivals,Crustle,186,Illustration Rare,2.78,3.99,0.79,https://images.pokemontcg.io/sv10/186_hires.png
sv10,Destined Rivals,Team Rocket's Spidops,187,Illustration Rare,6.07,8.99,2.36,https://images.pokemontcg.io/sv10/187_hires.png
sv10,Destined Rivals,Hydrapple,188,Illustration Rare,3.49,4.99,1.06,https://images.pokemontcg.io/sv10/188_hires.png
sv10,Destined Rivals,Rapidash,189,Illustration Rare,8.4,11.99,2.94,https://images.pokemontcg.io/sv10/189_hires.png
sv10,Destined Rivals,Ethan's Typhlosion,190,Illustration Rare,25.71,34.99,7.97,https://images.pokemontcg.io/sv10/190_hires.png
sv10,Destined Rivals,Team Rocket's Houndoom,191,Illustration Rare,13.7,18.99,4.44,https://images.pokemontcg.io/sv10/191_hires.png
sv10,Destined Rivals,Blaziken,192,Illustration Rare,10.66,14.99,3.6,https://images.pokemontcg.io/sv10/192_hires.png
