set_id,set_name,card_name,card_number,rarity,market_price,sell_price,profit,image_url
zsv10pt5,Black Bolt,Zekrom ex,172,Black White Rare,409.48,552.99,127.17,https://images.pokemontcg.io/zsv10pt5/172_hires.png
zsv10pt5,Black Bolt,Serperior ex,3,Double Rare,0.51,0.99,0.15,https://images.pokemontcg.io/zsv10pt5/3_hires.png
zsv10pt5,Black Bolt,Kyurem ex,28,Double Rare,2.24,3.99,1.33,https://images.pokemontcg.io/zsv10pt5/28_hires.png
zsv10pt5,Black Bolt,Zekrom ex,34,Double Rare,0.57,0.99,0.09,https://images.pokemontcg.io/zsv10pt5/34_hires.png
zsv10pt5,Black Bolt,Meloetta ex,44,Double Rare,0.55,0.99,0.11,https://images.pokemontcg.io/zsv10pt5/44_hires.png
zsv10pt5,Black Bolt,Genesect ex,67,Double Rare,0.74,1.99,0.89,https://images.pokemontcg.io/zsv10pt5/67_hires.png
zsv10pt5,Black Bolt,Lilligant,92,Illustration Rare,28.34,38.99,9.22,https://images.pokemontcg.io/zsv10pt5/92_hires.png
zsv10pt5,Black Bolt,Tynamo,113,Illustration Rare,15.19,20.99,4.89,https://images.pokemontcg.io/zsv10pt5/113_hires.png
zsv10pt5,Black Bolt,Eelektross,115,Illustration Rare,16.46,22.99,5.56,https://images.pokemontcg.io/zsv10pt5/115_hires.png
zsv10pt5,Black Bolt,Musharna,117,Illustration Rare,7.65,10.99,2.72,https://images.pokemontcg.io/zsv10pt5/117_hires.png
zsv10pt5,Black Bolt,Simisage,90,Illustration Rare,6.73,9.99,2.67,https://images.pokemontcg.io/zsv10pt5/90_hires.png
zsv10pt5,Black Bolt,Maractus,93,Illustration Rare,3.24,4.99,1.31,https://images.pokemontcg.io/zsv10pt5/93_hires.png
zsv10pt5,Black Bolt,Amoonguss,96,Illustration Rare,30.7,41.99,9.77,https://images.pokemontcg.io/zsv10pt5/96_hires.png
zsv10pt5,Black Bolt,Simipour,102,Illustration Rare,7.41,10.99,2.96,https://images.pokemontcg.io/zsv10pt5/102_hires.png
zsv10pt5,Black Bolt,Seismitoad,105,Illustration Rare,171.91,232.99,54.02,https://images.pokemontcg.io/zsv10pt5/105_hires.png
zsv10pt5,Black Bolt,Servine,88,Illustration Rare,13.02,17.99,4.15,https://images.pokemontcg.io/zsv10pt5/88_hires.png
zsv10pt5,Black Bolt,Darumaka,97,Illustration Rare,9.85,13.99,3.43,https://images.pokemontcg.io/zsv10pt5/97_hires.png
zsv10pt5,Black Bolt,Larvesta,99,Illustration Rare,11.4,15.99,3.83,https://images.pokemontcg.io/zsv10pt5/99_hires.png
zsv10pt5,Black Bolt,Panpour,101,Illustration Rare,8.16,11.99,3.18,https://images.pokemontcg.io/zsv10pt5/101_hires.png
zsv10pt5,Black Bolt,Alomomola,108,Illustration Rare,12.67,17.99,4.5,https://images.pokemontcg.io/zsv10pt5/108_hires.png
zsv10pt5,Black Bolt,Beartic,110,Illustration Rare,7.1,9.99,2.3,https://images.pokemontcg.io/zsv10pt5/110_hires.png
zsv10pt5,Black Bolt,Emolga,112,Illustration Rare,10.98,14.99,3.28,https://images.pokemontcg.io/zsv10pt5/112_hires.png
zsv10pt5,Black Bolt,Eelektrik,114,Illustration Rare,19.43,26.99,6.48,https://images.pokemontcg.io/zsv10pt5/114_hires.png
zsv10pt5,Black Bolt,Snivy,87,Illustration Rare,19.99,26.99,5.92,https://images.pokemontcg.io/zsv10pt5/87_hires.png
