title,handle,shopify_product_id,loose_price,cib_price,ratio,uplift_when,uplift_run
1943: The Battle of Midway - NES Game,1943-the-battle-of-midway-nes-game,gid://shopify/Product/7956599767074,25.67,45.99,1.79,2026-04-11T15:09:50,fix-cib-equals-loose-20260411_150950.csv
720 - NES Game,720-nes-game,gid://shopify/Product/7956600782882,7.03,11.99,1.71,2026-04-11T15:09:50,fix-cib-equals-loose-20260411_150950.csv
A Dinosaur's Tale - Sega Genesis Game,a-dinosaurs-tale-sega-genesis-game,gid://shopify/Product/7956600946722,17.39,30.99,1.78,2026-04-11T15:09:50,fix-cib-equals-loose-20260411_150950.csv
Academy of Champions Soccer - Wii Game,academy-of-champions-soccer-wii-game,gid://shopify/Product/7956601241634,8.99,15.99,1.78,2026-04-11T15:09:50,fix-cib-equals-loose-20260411_150950.csv
AFL Premiership 2006 - PS2 Game,afl-premiership-2006-ps2-game,gid://shopify/Product/7956603142178,113.98,204.99,1.8,2026-04-11T15:09:50,fix-cib-equals-loose-20260411_150950.csv
Air Diver - Sega Genesis Game,air-diver-sega-genesis-game,gid://shopify/Product/7956603732002,9.48,16.99,1.79,2026-04-11T15:09:50,fix-cib-equals-loose-20260411_150950.csv
Alien 3 - SNES Game,alien-3-snes-game,gid://shopify/Product/7956604354594,29.67,52.99,1.79,2026-04-11T15:09:50,fix-cib-equals-loose-20260411_150950.csv
All-Star Baseball 2003 - GBA Game,all-star-baseball-2003-gba-game,gid://shopify/Product/7956605665314,7.24,12.99,1.79,2026-04-11T15:09:50,fix-cib-equals-loose-20260411_150950.csv
All-Star Baseball 2005 - PS2 Game,all-star-baseball-2005-ps2-game,gid://shopify/Product/7956605763618,10.99,18.99,1.73,2026-04-11T15:09:50,fix-cib-equals-loose-20260411_150950.csv
All-Star Baseball 2005 - Xbox Game,all-star-baseball-2005-xbox-game,gid://shopify/Product/7956605796386,5.39,8.99,1.67,2026-04-11T15:09:50,fix-cib-equals-loose-20260411_150950.csv
Animal Kingdom: Wildlife Expedition - Wii Game,animal-kingdom-wildlife-expedition-wii-game,gid://shopify/Product/7956607172642,8.59,14.99,1.75,2026-04-11T15:09:50,fix-cib-equals-loose-20260411_150950.csv
Animaniacs Ten Pin Alley - PS1 Game,animaniacs-ten-pin-alley-ps1-game,gid://shopify/Product/7956607336482,11.38,19.99,1.76,2026-04-11T15:09:50,fix-cib-equals-loose-20260411_150950.csv
Animorphs Shattered Reality - PS1 Game,animorphs-shattered-reality-ps1-game,gid://shopify/Product/7956607402018,18.98,33.99,1.79,2026-04-11T15:09:50,fix-cib-equals-loose-20260411_150950.csv
Archon - NES Game,archon-nes-game,gid://shopify/Product/7956608385058,16.88,29.99,1.78,2026-04-11T15:09:50,fix-cib-equals-loose-20260411_150950.csv
Are You Smarter Than A 5th Grader? Make the Grade - PS2 Game,are-you-smarter-than-a-5th-grader-make-the-grade-ps2-game,gid://shopify/Product/7956608483362,6.48,10.99,1.7,2026-04-11T15:09:50,fix-cib-equals-loose-20260411_150950.csv
Arena Football Road to Glory - PS2 Game,arena-football-road-to-glory-ps2-game,gid://shopify/Product/7956608647202,13.34,23.99,1.8,2026-04-11T15:09:50,fix-cib-equals-loose-20260411_150950.csv
Army Men World War Land Sea Air - PS1 Game,army-men-world-war-land-sea-air-ps1-game,gid://shopify/Product/7956609826850,15.11,26.99,1.79,2026-04-11T15:09:50,fix-cib-equals-loose-20260411_150950.csv
Art Alive - Sega Genesis Game,art-alive-sega-genesis-game,gid://shopify/Product/7956609892386,9.37,15.99,1.71,2026-04-11T15:09:50,fix-cib-equals-loose-20260411_150950.csv
Assault Retribution - PS1 Game,assault-retribution-ps1-game,gid://shopify/Product/7956610023458,13.76,23.99,1.74,2026-04-11T15:09:50,fix-cib-equals-loose-20260411_150950.csv
Atomic Robo-Kid - Sega Genesis Game,atomic-robo-kid-sega-genesis-game,gid://shopify/Product/7956610777122,31.54,55.99,1.78,2026-04-11T15:09:50,fix-cib-equals-loose-20260411_150950.csv
Avatar the Last Airbender - Gamecube Game,avatar-the-last-airbender-gamecube-game,gid://shopify/Product/7956611366946,14.99,25.99,1.73,2026-04-11T15:09:50,fix-cib-equals-loose-20260411_150950.csv
Axelay - SNES Game,axelay-snes-game,gid://shopify/Product/7956611432482,131.54,235.99,1.79,2026-04-11T15:09:50,fix-cib-equals-loose-20260411_150950.csv
Baby Boomer - NES Game,baby-boomer-nes-game,gid://shopify/Product/7956611629090,104.3,186.99,1.79,2026-04-11T15:09:50,fix-cib-equals-loose-20260411_150950.csv
Backstreet Billiards - PS1 Game,backstreet-billiards-ps1-game,gid://shopify/Product/7956611792930,8.95,15.99,1.79,2026-04-11T15:09:50,fix-cib-equals-loose-20260411_150950.csv
Backyard Baseball '10 - PS2 Game,backyard-baseball-10-ps2-game,gid://shopify/Product/7956611924002,16.97,29.99,1.77,2026-04-11T15:09:50,fix-cib-equals-loose-20260411_150950.csv
